"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Should access user data by role","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","3","Should handle parallel-safe user generation","firefox-desktop","Sat Nov 08 10:21:29 GMT 2025","passed","Sat Nov 08 10:21:29 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","1","Should generate performance report","firefox","Sat Nov 08 10:16:20 GMT 2025","passed","Sat Nov 08 10:16:20 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","7030","Critical user flows work @health","webkit-desktop","Sat Nov 08 10:22:12 GMT 2025","passed","Sat Nov 08 10:22:19 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","4","@api @regression should handle invalid booking data","firefox","Sat Nov 08 10:16:21 GMT 2025","passed","Sat Nov 08 10:16:21 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","4","Should handle data cleanup settings","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","5","Should filter users by permission","webkit-desktop","Sat Nov 08 10:22:10 GMT 2025","passed","Sat Nov 08 10:22:10 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","3","Should generate parallel-safe users","chromium","Sat Nov 08 10:16:09 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","209","@api @smoke should retrieve created booking","webkit","Sat Nov 08 10:16:54 GMT 2025","passed","Sat Nov 08 10:16:54 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","1344","Memory usage monitoring @performance","chromium","Sat Nov 08 10:16:18 GMT 2025","passed","Sat Nov 08 10:16:19 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","4390","@regression should have no critical accessibility violations on Dashboard page","chromium","Sat Nov 08 10:16:12 GMT 2025","passed","Sat Nov 08 10:16:17 GMT 2025","@a11y Accessibility","login.a11y.spec.ts","",""
"","6","Should distribute tests evenly across shards","firefox-desktop","Sat Nov 08 10:21:29 GMT 2025","passed","Sat Nov 08 10:21:29 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","16301","Login performance @performance","webkit-desktop","Sat Nov 08 10:22:38 GMT 2025","passed","Sat Nov 08 10:22:55 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","4","Should handle data cleanup settings","firefox","Sat Nov 08 10:16:22 GMT 2025","passed","Sat Nov 08 10:16:22 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","3","Should record performance metrics","firefox-desktop","Sat Nov 08 10:21:29 GMT 2025","passed","Sat Nov 08 10:21:29 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","4","Should get tests for specific shard","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","2","Staging specific health check @health @staging","chromium","Sat Nov 08 10:16:09 GMT 2025","skipped","Sat Nov 08 10:16:09 GMT 2025","Staging Environment Health @staging","health.spec.ts","",""
"","3610","Resource loading performance @performance","webkit-desktop","Sat Nov 08 10:22:40 GMT 2025","passed","Sat Nov 08 10:22:43 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","408","@api @regression should retrieve all bookings","firefox","Sat Nov 08 10:16:21 GMT 2025","passed","Sat Nov 08 10:16:21 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","8","Should handle parallel booking data generation","webkit-desktop","Sat Nov 08 10:22:09 GMT 2025","passed","Sat Nov 08 10:22:09 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","6843","Application is accessible @health @quick @smoke","webkit-desktop","Sat Nov 08 10:22:10 GMT 2025","passed","Sat Nov 08 10:22:17 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","375","@smoke should verify mock booking display (mock mode only)","chromium-desktop","Sat Nov 08 10:25:45 GMT 2025","skipped","Sat Nov 08 10:25:46 GMT 2025","@integration API+UI Integration Tests","integration/booking.integration.spec.ts","",""
"","1715","API endpoints are responsive @health @api","webkit-desktop","Sat Nov 08 10:22:10 GMT 2025","passed","Sat Nov 08 10:22:12 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","4","Should access user data by role","chromium","Sat Nov 08 10:16:09 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","3","Should get tests for specific shard","webkit-desktop","Sat Nov 08 10:22:09 GMT 2025","passed","Sat Nov 08 10:22:09 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","203","@api @smoke should retrieve created booking","firefox-desktop","Sat Nov 08 10:21:29 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","504","@api @smoke should create booking with George Kaseri data","webkit","Sat Nov 08 10:16:54 GMT 2025","passed","Sat Nov 08 10:16:54 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","5","Should calculate optimal worker count based on system resources","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","99","@api @smoke should handle non-existent booking gracefully","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","4","Should handle environment configuration","firefox","Sat Nov 08 10:16:22 GMT 2025","passed","Sat Nov 08 10:16:22 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","1","Should generate unique test IDs","chromium","Sat Nov 08 10:16:09 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","18665","Quick Actions widget looks correct @visual @regression","webkit-desktop","Sat Nov 08 10:22:44 GMT 2025","skipped","Sat Nov 08 10:23:02 GMT 2025","Visual Regression Tests","visual.spec.ts","",""
"","9370","@regression should have no critical accessibility violations on Dashboard page","webkit-desktop","Sat Nov 08 10:26:16 GMT 2025","passed","Sat Nov 08 10:26:25 GMT 2025","@a11y Accessibility","login.a11y.spec.ts","",""
"","117","@api @smoke should handle non-existent booking gracefully","api-tests","Sat Nov 08 10:22:53 GMT 2025","passed","Sat Nov 08 10:22:53 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","5025","Performance baseline check @health @performance","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:21:03 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","3","Should calculate optimal worker count based on system resources","firefox-desktop","Sat Nov 08 10:21:29 GMT 2025","passed","Sat Nov 08 10:21:29 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","839","API endpoints are responsive @health @api","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:56 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","4","Should generate multiple unique bookings","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","1","Should generate parallel-safe users","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","222","@api @regression should test utility method","webkit-desktop","Sat Nov 08 10:22:10 GMT 2025","passed","Sat Nov 08 10:22:10 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","3786","Application is accessible @health @quick @smoke","firefox","Sat Nov 08 10:16:22 GMT 2025","passed","Sat Nov 08 10:16:26 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","10","Should record performance metrics","chromium","Sat Nov 08 10:16:08 GMT 2025","passed","Sat Nov 08 10:16:08 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","3","Should check feature flags","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","5","Should calculate shard statistics correctly","webkit-desktop","Sat Nov 08 10:22:09 GMT 2025","passed","Sat Nov 08 10:22:09 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","2","Should calculate shard statistics correctly","firefox","Sat Nov 08 10:16:20 GMT 2025","passed","Sat Nov 08 10:16:20 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","3","Production health check @health @production","firefox-desktop","Sat Nov 08 10:21:36 GMT 2025","skipped","Sat Nov 08 10:21:36 GMT 2025","Production Environment Health @production","health.spec.ts","",""
"","4","Should generate multiple unique bookings","webkit-desktop","Sat Nov 08 10:22:10 GMT 2025","passed","Sat Nov 08 10:22:10 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","4073","Memory usage monitoring @performance","chromium-desktop","Sat Nov 08 10:21:20 GMT 2025","passed","Sat Nov 08 10:21:24 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","2006","API endpoints are responsive @health @api","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:21:00 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","9385","@regression should have no critical accessibility violations on Dashboard page","chromium-desktop","Sat Nov 08 10:25:45 GMT 2025","passed","Sat Nov 08 10:25:55 GMT 2025","@a11y Accessibility","login.a11y.spec.ts","",""
"","5942","Login form visual consistency @visual @smoke","chromium","Sat Nov 08 10:16:19 GMT 2025","passed","Sat Nov 08 10:16:25 GMT 2025","Login Page Visual Tests","visual.spec.ts","",""
"","2672","Page load performance @performance @smoke","chromium","Sat Nov 08 10:16:14 GMT 2025","passed","Sat Nov 08 10:16:17 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","10188","@smoke should validate keyboard navigation on Login page","firefox","Sat Nov 08 10:16:33 GMT 2025","passed","Sat Nov 08 10:16:43 GMT 2025","@a11y Accessibility","login.a11y.spec.ts","",""
"","2","Should handle environment configuration","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","2","Should check feature flags","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","1","Should integrate with environment configuration","firefox","Sat Nov 08 10:16:20 GMT 2025","passed","Sat Nov 08 10:16:20 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","12869","@smoke should create booking via API and verify data integrity","firefox-desktop","Sat Nov 08 10:25:53 GMT 2025","passed","Sat Nov 08 10:26:06 GMT 2025","@integration API+UI Integration Tests","integration/booking.integration.spec.ts","",""
"","1","Should generate booking data from templates","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","10","@api @regression should handle invalid booking data","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","12889","Login performance @performance","firefox-desktop","Sat Nov 08 10:21:55 GMT 2025","passed","Sat Nov 08 10:22:08 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","9529","@smoke should create booking via API and verify data integrity","webkit-desktop","Sat Nov 08 10:26:11 GMT 2025","passed","Sat Nov 08 10:26:20 GMT 2025","@integration API+UI Integration Tests","integration/booking.integration.spec.ts","",""
"","99","@api @performance should create booking within time threshold","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","9233","Quick Actions widget looks correct @visual @regression","firefox","Sat Nov 08 10:16:52 GMT 2025","skipped","Sat Nov 08 10:17:01 GMT 2025","Visual Regression Tests","visual.spec.ts","",""
"","7","Should handle data cleanup settings","chromium","Sat Nov 08 10:16:09 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","190","Memory usage monitoring @performance","webkit-desktop","Sat Nov 08 10:22:39 GMT 2025","skipped","Sat Nov 08 10:22:39 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","1","Should access user data by role","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","4745","Performance baseline check @health @performance","firefox","Sat Nov 08 10:16:28 GMT 2025","passed","Sat Nov 08 10:16:32 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","11","@api @regression should handle invalid booking data","webkit","Sat Nov 08 10:16:55 GMT 2025","passed","Sat Nov 08 10:16:55 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","3","Production health check @health @production","webkit-desktop","Sat Nov 08 10:22:19 GMT 2025","skipped","Sat Nov 08 10:22:19 GMT 2025","Production Environment Health @production","health.spec.ts","",""
"","1","Should check feature flags","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","15","Should handle environment configuration","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","8","Should handle environment configuration","chromium","Sat Nov 08 10:16:09 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","10762","@regression should have no critical accessibility violations on Dashboard page","firefox","Sat Nov 08 10:16:33 GMT 2025","passed","Sat Nov 08 10:16:44 GMT 2025","@a11y Accessibility","login.a11y.spec.ts","",""
"","6","Should distribute tests evenly across shards","webkit-desktop","Sat Nov 08 10:22:09 GMT 2025","passed","Sat Nov 08 10:22:09 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","101","@api @performance should create booking within time threshold","chromium","Sat Nov 08 10:16:08 GMT 2025","passed","Sat Nov 08 10:16:09 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","115","@api @performance should create booking within time threshold","api-tests","Sat Nov 08 10:22:53 GMT 2025","passed","Sat Nov 08 10:22:53 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","1","Should calculate optimal shard count","firefox","Sat Nov 08 10:16:20 GMT 2025","passed","Sat Nov 08 10:16:20 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","23","@api @regression should handle invalid booking data","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","15","@api @regression should handle invalid booking data","chromium","Sat Nov 08 10:16:08 GMT 2025","passed","Sat Nov 08 10:16:08 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","7","Should calculate shard statistics correctly","chromium","Sat Nov 08 10:16:08 GMT 2025","passed","Sat Nov 08 10:16:08 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","110","@api @health should verify API service availability","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","5","Should integrate with environment configuration","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","5591","Core Web Vitals performance @performance","firefox","Sat Nov 08 10:16:49 GMT 2025","passed","Sat Nov 08 10:16:54 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","2","Should integrate with environment configuration","chromium","Sat Nov 08 10:16:08 GMT 2025","passed","Sat Nov 08 10:16:08 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","12064","can login and reach Dashboard","firefox-desktop","Sat Nov 08 10:26:03 GMT 2025","passed","Sat Nov 08 10:26:16 GMT 2025","Auth","login.spec.ts","",""
"","98","@api @health should verify API service availability","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","2","Staging specific health check @health @staging","firefox-desktop","Sat Nov 08 10:21:36 GMT 2025","skipped","Sat Nov 08 10:21:36 GMT 2025","Staging Environment Health @staging","health.spec.ts","",""
"","461","@api @smoke should handle non-existent booking gracefully","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","641","@api @smoke should retrieve created booking","webkit-desktop","Sat Nov 08 10:22:09 GMT 2025","passed","Sat Nov 08 10:22:10 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","9102","Application is accessible @health @quick @smoke","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:39 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","1480","Resource loading performance @performance","chromium","Sat Nov 08 10:16:17 GMT 2025","passed","Sat Nov 08 10:16:18 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","209","@api @smoke should retrieve created booking","firefox","Sat Nov 08 10:16:21 GMT 2025","passed","Sat Nov 08 10:16:21 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","8435","can login and reach Dashboard","webkit","Sat Nov 08 10:17:11 GMT 2025","passed","Sat Nov 08 10:17:20 GMT 2025","Auth","login.spec.ts","",""
"","9128","Page load performance @performance @smoke","firefox","Sat Nov 08 10:16:42 GMT 2025","passed","Sat Nov 08 10:16:52 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","2","Staging specific health check @health @staging","firefox","Sat Nov 08 10:16:28 GMT 2025","skipped","Sat Nov 08 10:16:28 GMT 2025","Staging Environment Health @staging","health.spec.ts","",""
"","3","Should generate booking data from templates","firefox","Sat Nov 08 10:16:22 GMT 2025","passed","Sat Nov 08 10:16:22 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","1","Should access user data by role","webkit-desktop","Sat Nov 08 10:22:10 GMT 2025","passed","Sat Nov 08 10:22:10 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","9317","@regression should have no critical accessibility violations on Dashboard page","webkit","Sat Nov 08 10:17:02 GMT 2025","passed","Sat Nov 08 10:17:12 GMT 2025","@a11y Accessibility","login.a11y.spec.ts","",""
"","11664","@smoke should validate keyboard navigation on Login page","firefox-desktop","Sat Nov 08 10:25:59 GMT 2025","passed","Sat Nov 08 10:26:11 GMT 2025","@a11y Accessibility","login.a11y.spec.ts","",""
"","105","@api @regression should retrieve all bookings","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","476","@api @smoke should create booking with George Kaseri data","firefox-desktop","Sat Nov 08 10:21:29 GMT 2025","passed","Sat Nov 08 10:21:29 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","5030","Performance baseline check @health @performance","firefox-desktop","Sat Nov 08 10:21:35 GMT 2025","passed","Sat Nov 08 10:21:40 GMT 2025","System Health Checks @health","health.spec.ts","",""
"","1","Should handle data cleanup settings","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","4511","Core Web Vitals performance @performance","chromium-desktop","Sat Nov 08 10:21:22 GMT 2025","passed","Sat Nov 08 10:21:27 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","3475","Resource loading performance @performance","chromium-desktop","Sat Nov 08 10:21:19 GMT 2025","passed","Sat Nov 08 10:21:22 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","4","Should handle data cleanup settings","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","4","Should handle parallel-safe user generation","chromium","Sat Nov 08 10:16:08 GMT 2025","passed","Sat Nov 08 10:16:08 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","5227","Core Web Vitals performance @performance","firefox-desktop","Sat Nov 08 10:22:03 GMT 2025","passed","Sat Nov 08 10:22:08 GMT 2025","Performance Tests @performance","performance.spec.ts","",""
"","7","Should handle parallel-safe user generation","webkit","Sat Nov 08 10:16:54 GMT 2025","passed","Sat Nov 08 10:16:54 GMT 2025","Advanced Parallelization System Tests","advancedParallelization.spec.ts","",""
"","5","Should generate unique test IDs","firefox-desktop","Sat Nov 08 10:21:30 GMT 2025","passed","Sat Nov 08 10:21:30 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","113","@api @regression should test utility method","firefox","Sat Nov 08 10:16:22 GMT 2025","passed","Sat Nov 08 10:16:22 GMT 2025","@api Booking API Tests","api/booking.spec.ts","",""
"","2","Should generate booking data from templates","chromium-desktop","Sat Nov 08 10:20:58 GMT 2025","passed","Sat Nov 08 10:20:58 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
"","4","Should check feature flags","webkit-desktop","Sat Nov 08 10:22:10 GMT 2025","passed","Sat Nov 08 10:22:10 GMT 2025","Data Management System Validation","dataManagement.spec.ts","",""
